0.0758,0.2724,-1.0000
0.3311,0.0666,1.0000
0.1237,0.9178,-1.0000
0.4237,0.5019,-1.0000
0.1042,0.7934,-1.0000
0.6642,0.2315,1.0000
0.0562,0.9341,-1.0000
0.3039,0.1504,1.0000
0.7056,0.7404,-1.0000
0.8058,0.8715,-1.0000
0.6430,0.0459,1.0000
0.2659,0.8945,-1.0000
0.1223,0.4108,-1.0000
0.8625,0.6374,1.0000
0.1467,0.3981,-1.0000
0.8983,0.0135,1.0000
0.9420,0.2507,1.0000
0.2826,0.3904,-1.0000
0.5918,0.3766,1.0000
0.5248,0.4106,1.0000
0.9105,0.9220,-1.0000
0.5195,0.1511,1.0000
0.2004,0.0372,1.0000
0.9732,0.7160,1.0000
0.0460,0.2226,-1.0000
0.0298,0.9553,-1.0000
0.4057,0.6334,-1.0000
0.3032,0.5915,-1.0000
0.6277,0.2881,1.0000
0.3547,0.1445,1.0000
0.2010,0.2827,-1.0000
0.5870,0.2845,1.0000
0.3567,0.1104,1.0000
0.6891,0.7094,-1.0000
0.0690,0.7098,-1.0000
0.7331,0.8502,-1.0000
0.4495,0.0324,1.0000
0.6985,0.2935,1.0000
0.2970,0.5067,-1.0000
0.7549,0.8973,-1.0000
0.5793,0.6462,-1.0000
0.6710,0.1594,1.0000
0.4077,0.5585,-1.0000
0.9466,0.2528,1.0000
0.5664,0.5315,1.0000
0.2804,0.2246,1.0000
0.4072,0.3986,1.0000
0.2848,0.0495,1.0000
0.4572,0.4701,-1.0000
0.8835,0.9182,-1.0000
